subdomain,ip,provider,detail
007074.rgs.uci.edu,128.200.7.74,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
045068.rgs.uci.edu,128.200.45.68,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
007075.rgs.uci.edu,128.200.7.75,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
032htest1.classnet.uci.edu,128.200.32.229,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
007072.rgs.uci.edu,128.200.7.72,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
045067.rgs.uci.edu,128.200.45.67,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
007073.rgs.uci.edu,128.200.7.73,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
032htest2.classnet.uci.edu,128.200.32.230,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
065135.rgs.uci.edu,128.200.65.135,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
065136.rgs.uci.edu,128.200.65.136,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
065137.rgs.uci.edu,128.200.65.137,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
065138.rgs.uci.edu,128.200.65.138,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
065140.rgs.uci.edu,128.200.65.140,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
065142.rgs.uci.edu,128.200.65.142,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
065141.rgs.uci.edu,128.200.65.141,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
065144.rgs.uci.edu,128.200.65.144,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
065147.rgs.uci.edu,128.200.65.147,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
065143.rgs.uci.edu,128.200.65.143,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
065145.rgs.uci.edu,128.200.65.145,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
065149.rgs.uci.edu,128.200.65.149,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
065150.rgs.uci.edu,128.200.65.150,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
065152.rgs.uci.edu,128.200.65.152,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
065148.rgs.uci.edu,128.200.65.148,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
065151.rgs.uci.edu,128.200.65.151,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
065153.rgs.uci.edu,128.200.65.153,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
065154.rgs.uci.edu,128.200.65.154,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
097006.rgs.uci.edu,128.200.97.6,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
097005.rgs.uci.edu,128.200.97.5,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
097007.rgs.uci.edu,128.200.97.7,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
097008.rgs.uci.edu,128.200.97.8,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
100shp2055.hs.uci.edu,128.200.234.103,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
100ahp2320.hs.uci.edu,128.200.234.105,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
100bhp2015.hs.uci.edu,128.200.234.112,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
101prnt1.soceco.uci.edu,128.195.139.136,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
100hp2055.hs.uci.edu,128.200.234.100,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
100dhp2320.hs.uci.edu,128.200.234.124,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
065146.rgs.uci.edu,128.200.65.146,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
100ahp2055.hs.uci.edu,128.200.234.109,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
106melrok108.fac.uci.edu,128.200.107.108,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
104938parxp.rx.mc.uci.edu,160.87.146.53,UCI on-prem,UCI Health (UCIMC-NET)
101prnt2.soceco.uci.edu,128.195.139.137,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
104938vtshost.rx.mc.uci.edu,160.87.100.40,UCI on-prem,UCI Health (UCIMC-NET)
106melrok102.fac.uci.edu,128.200.107.102,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
106melrok104.fac.uci.edu,128.200.107.104,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
106melrok106.fac.uci.edu,128.200.107.106,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
106melrok103.fac.uci.edu,128.200.107.103,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
106melrok105.fac.uci.edu,128.200.107.105,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
106melrok97.fac.uci.edu,128.200.107.97,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
106melrok110.fac.uci.edu,128.200.107.110,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
106melrok100.fac.uci.edu,128.200.107.100,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
106melrok101.fac.uci.edu,128.200.107.101,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
106melrok96.fac.uci.edu,128.200.107.96,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
106bbrother.hs.uci.edu,128.200.234.111,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
106fhp2600.hs.uci.edu,128.200.234.110,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
106melrok111.fac.uci.edu,128.200.107.111,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
106melrok107.fac.uci.edu,128.200.107.107,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
106dhp2015.hs.uci.edu,128.200.234.121,UCI on-prem,"UCI campus (UCI-NET, AS3127)"
