subdomain,ip,provider,detail
3dlab.psychology.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
3dlab.psychology.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
3dlab.psychology.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
50th.uci.edu,184.33.252.214,AWS,AMAZON/us-west-2
50th.uci.edu,34.218.190.82,AWS,AMAZON/us-west-2
a11ytest.lib.uci.edu,18.154.206.110,AWS,AMAZON/GLOBAL
a11ytest.lib.uci.edu,18.154.206.69,AWS,AMAZON/GLOBAL
a11ytest.lib.uci.edu,18.154.206.107,AWS,AMAZON/GLOBAL
a11ytest.lib.uci.edu,18.154.206.12,AWS,AMAZON/GLOBAL
aalm-t.som.uci.edu,44.245.115.152,AWS,AMAZON/us-west-2
aalm-t.som.uci.edu,52.10.35.10,AWS,AMAZON/us-west-2
aalm-t.som.uci.edu,54.68.68.46,AWS,AMAZON/us-west-2
aalm.som.uci.edu,44.245.115.152,AWS,AMAZON/us-west-2
aalm.som.uci.edu,52.10.35.10,AWS,AMAZON/us-west-2
aalm.som.uci.edu,54.68.68.46,AWS,AMAZON/us-west-2
ablativeoncology.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
ablativeoncology.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
ablativeoncology.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
aborovik.chem.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
aborovik.chem.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
aborovik.chem.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
abs.uci.edu,52.88.192.85,AWS,AMAZON/us-west-2
abs.uci.edu,44.230.166.173,AWS,AMAZON/us-west-2
academicadvising.uci.edu,34.216.237.15,AWS,AMAZON/us-west-2
academicadvising.uci.edu,34.215.37.29,AWS,AMAZON/us-west-2
academicplanning.uci.edu,44.253.119.58,AWS,AMAZON/us-west-2
academicplanning.uci.edu,35.161.47.2,AWS,AMAZON/us-west-2
accessibility.uci.edu,32.184.219.143,AWS,AMAZON/us-west-2
accessibility.uci.edu,100.20.109.51,AWS,AMAZON/us-west-2
accreditation.uci.edu,52.10.250.14,AWS,AMAZON/us-west-2
accreditation.uci.edu,52.40.165.7,AWS,AMAZON/us-west-2
accounting.uci.edu,52.88.192.85,AWS,AMAZON/us-west-2
accounting.uci.edu,44.230.166.173,AWS,AMAZON/us-west-2
acdcsearch.aws.uci.edu,13.249.182.14,AWS,AMAZON/GLOBAL
acdcsearch.aws.uci.edu,13.249.182.21,AWS,AMAZON/GLOBAL
acdcsearch.aws.uci.edu,13.249.182.119,AWS,AMAZON/GLOBAL
acdcsearch.aws.uci.edu,13.249.182.98,AWS,AMAZON/GLOBAL
acrc.manufacturing.uci.edu,52.10.113.223,AWS,AMAZON/us-west-2
acrc.manufacturing.uci.edu,52.10.216.228,AWS,AMAZON/us-west-2
ad-dc-sdsc01.ad.uci.edu,132.249.215.227,Other,"AS195 SDSC-AS - San Diego Supercomputer Center, US"
ad-gis-nlb-prod12.oit-ei-prod12.aws.uci.edu,54.212.74.88,AWS,AMAZON/us-west-2
ad-gis-nlb-prod12.oit-ei-prod12.aws.uci.edu,16.144.169.243,AWS,AMAZON/us-west-2
ad-rdpgw-test.ad.uci.edu,54.191.253.111,AWS,AMAZON/us-west-2
ad-rdpgw-test.ad.uci.edu,34.214.82.255,AWS,AMAZON/us-west-2
ad-ua-ts-nlb-prod12.uci-uaar-prod12.aws.uci.edu,44.238.80.150,AWS,AMAZON/us-west-2
ad-ua-ts-nlb-prod12.uci-uaar-prod12.aws.uci.edu,34.211.186.233,AWS,AMAZON/us-west-2
ad.uci.edu,132.249.215.227,Other,"AS195 SDSC-AS - San Diego Supercomputer Center, US"
adfs-be-sdsc1.ad.uci.edu,132.249.215.246,Other,"AS195 SDSC-AS - San Diego Supercomputer Center, US"
adfs-web-sdsc1.ad.uci.edu,132.249.250.166,Other,"AS195 SDSC-AS - San Diego Supercomputer Center, US"
admin.accommodate.dsc.uci.edu,52.88.238.93,AWS,AMAZON/us-west-2
admin.accommodate.dsc.uci.edu,52.37.215.234,AWS,AMAZON/us-west-2
admin.campusgroups.uci.edu,52.88.238.93,AWS,AMAZON/us-west-2
admin.campusgroups.uci.edu,52.37.215.234,AWS,AMAZON/us-west-2
admin.oit-zotdesk-lb.oit-zotdesk-stage.aws.uci.edu,52.40.51.155,AWS,AMAZON/us-west-2
admin.oit-zotdesk-lb.oit-zotdesk-stage.aws.uci.edu,52.10.131.33,AWS,AMAZON/us-west-2
admin.oit-zotdesk-lb.oit-zotdesk-dev.aws.uci.edu,44.224.156.135,AWS,AMAZON/us-west-2
admin.oit-zotdesk-lb.oit-zotdesk-dev.aws.uci.edu,32.184.108.253,AWS,AMAZON/us-west-2
admin.zotdesk.zotgpt.uci.edu,16.144.185.57,AWS,AMAZON/us-west-2
admin.zotdesk.zotgpt.uci.edu,52.11.250.90,AWS,AMAZON/us-west-2
admin.arts.uci.edu,34.223.151.45,AWS,AMAZON/us-west-2
admin.arts.uci.edu,16.144.196.160,AWS,AMAZON/us-west-2
adminintern.studentlife.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
adminintern.studentlife.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
adminintern.studentlife.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
admissions.uci.edu,52.10.113.223,AWS,AMAZON/us-west-2
admissions.uci.edu,52.10.216.228,AWS,AMAZON/us-west-2
admissions.medschool.uci.edu,18.235.39.108,AWS,AMAZON/us-east-1
admissions.medschool.uci.edu,3.91.167.73,AWS,AMAZON/us-east-1
advancement.uci.edu,184.33.172.60,AWS,AMAZON/us-west-2
advancement.uci.edu,52.36.18.78,AWS,AMAZON/us-west-2
advance.uci.edu,44.253.119.58,AWS,AMAZON/us-west-2
advance.uci.edu,35.161.47.2,AWS,AMAZON/us-west-2
advise.education.uci.edu,199.34.228.71,Other,"AS27647 WEEBLY - Weebly, Inc., US"
advocacy.uci.edu,184.33.252.214,AWS,AMAZON/us-west-2
advocacy.uci.edu,34.218.190.82,AWS,AMAZON/us-west-2
advising.eng.uci.edu,44.242.110.74,AWS,AMAZON/us-west-2
advising.compass.uci.edu,54.191.143.213,AWS,AMAZON/us-west-2
advising.compass.uci.edu,32.184.243.136,AWS,AMAZON/us-west-2
aegean.eng.uci.edu,16.147.127.77,AWS,AMAZON/us-west-2
afburke.sandbox.lib.uci.edu,157.245.185.55,DigitalOcean,"AS14061 DIGITALOCEAN-ASN - DigitalOcean, LLC, US"
afterschool.education.uci.edu,199.34.228.76,Other,"AS27647 WEEBLY - Weebly, Inc., US"
aegep.bio.uci.edu,52.84.20.15,AWS,AMAZON/GLOBAL
aegep.bio.uci.edu,52.84.20.72,AWS,AMAZON/GLOBAL
aegep.bio.uci.edu,52.84.20.76,AWS,AMAZON/GLOBAL
aegep.bio.uci.edu,52.84.20.6,AWS,AMAZON/GLOBAL
afyg.eng.uci.edu,16.147.127.77,AWS,AMAZON/us-west-2
ai.sa.uci.edu,52.37.215.234,AWS,AMAZON/us-west-2
ai.sa.uci.edu,52.88.238.93,AWS,AMAZON/us-west-2
aic.socsci.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
